timestamp,xtime,event
48581443,191,80
48581635,647,82
48582283,146,38
48582432,30,83
48582463,83,86
48584443,172,80
48584616,41,81
48584659,72,84
48585439,60,82
48587444,118,80
48587563,30,83
48587594,14,86
48587609,27,85
48588442,14,81
48589446,64,82
48589511,14,84
48590447,160,80
48591254,277,72
48592440,48,81
48592489,30,83
48593442,193,80
48593636,2792,34
48596431,104,80
48596536,41,81
48596578,114,82
48596693,71,84
48596765,213,86
48596979,27,85
48597007,87,87
48597442,65,82
48597508,31,83
48598682,31,88
48599446,172,80
48599619,14,84
48599634,13,86
48600439,42,81
48601449,495,82
48601945,15,85
48602458,158,80
