timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping
16190747,0.0014958238,0.0011180013,0.00075328466,4123,0,-0.008214338,-0.0649545,-9.813092,4123,0
16194782,0.00037731061,0.000976604,0.0007945365,4035,0,-0.036291115,-0.06965135,-9.826593,4035,0
16198649,-0.003127214,0.0018112472,-0.0024513619,3867,0,0.0017523149,-0.0588583,-9.796672,3867,0
16202787,0.0001835014,0.0026778574,-0.0026132548,4138,0,0.014794306,-0.05680181,-9.776008,4138,0
16206623,0.0008257984,0.0017259017,-0.0021942335,3836,0,0.024174001,-0.028173339,-9.798323,3836,0
16210526,-0.0050922697,-0.00082875375,-0.0009156325,3903,0,0.025945574,0.017037988,-9.793514,3903,0
16214750,-0.0029274735,-0.001232466,0.0027902112,4224,0,-0.006048703,-0.010756375,-9.805149,4224,0
16218517,-0.003332426,-0.0005349664,0.0015369175,3767,0,0.0065052817,-0.035296142,-9.808432,3767,0
16222490,-0.0017030168,-0.0013920933,-0.0005637484,3973,0,0.024165908,-0.053219732,-9.779259,3973,0
16226734,0.0014899705,0.00046408435,0.0007466786,4244,0,0.03937767,-0.06658013,-9.76355,4244,0
16230606,-0.0016284893,-0.00019003417,0.0029600915,3872,0,0.038893975,-0.033367783,-9.782202,3872,0
16234589,-0.0047866497,0.000442467,0.0014431456,3983,0,0.005450696,-0.028688805,-9.792751,3983,0
16238782,-0.0040917783,0.000345731,-0.0011287094,4193,0,0.00657413,-0.026447142,-9.780959,4193,0
16243002,-0.0015262223,-0.0029378426,-0.0017469802,4220,0,-0.0005218694,0.014132933,-9.769663,4220,0
16246725,-0.0006912336,-0.0022349583,0.0006985798,3723,0,-0.0019086401,0.015325139,-9.760409,3723,0
16250700,0.0018960974,-0.0002024525,-0.0015224341,3975,0,-0.0015240989,-0.019379862,-9.755031,3975,0
16254688,0.0022894824,0.000719764,-0.0035585314,3988,0,-0.0026662843,-0.034297775,-9.774925,3988,0
16258501,0.002717384,0.002288168,0.00096689037,3813,0,0.012913186,-0.03417679,-9.776742,3813,0
16262336,0.0026781543,0.0016416514,0.00025714724,3835,0,0.00024498324,-0.015878713,-9.784156,3835,0
16266721,0.0026683917,-0.0022499056,0.0012070928,4385,0,0.03403869,-0.0068348525,-9.760902,4385,0
16270621,0.0022800355,-0.0035373678,0.0023277572,3900,0,0.033220254,-0.022288587,-9.72929,3900,0
16274337,0.0012143324,0.00030300382,0.0031549025,3716,0,0.008573657,-0.03773111,-9.785423,3716,0
16278591,4.4989e-05,0.0015246728,0.0029232027,4254,0,0.009306015,-0.03739768,-9.783371,4254,0
